symbol,date,open,high,low,close,volume
ADRO.JK,2021-05-17,1210,1215,1180,1185,69060200
ADRO.JK,2021-05-18,1200,1200,1170,1200,31413900
ADRO.JK,2021-05-19,1195,1195,1175,1175,23994100
ADRO.JK,2021-05-20,1175,1185,1170,1170,29580300
ADRO.JK,2021-05-21,1190,1195,1160,1165,45227600
ADRO.JK,2021-05-24,1190,1190,1160,1160,50015000
ADRO.JK,2021-05-25,1175,1195,1165,1170,78866700
ADRO.JK,2021-05-27,1180,1190,1165,1165,84522000
ADRO.JK,2021-05-28,1165,1180,1160,1170,43862200
ADRO.JK,2021-05-31,1180,1190,1170,1190,59786600
ADRO.JK,2021-06-02,1195,1260,1195,1260,221123100
ADRO.JK,2021-06-03,1265,1265,1235,1250,58947200
ADRO.JK,2021-06-04,1245,1260,1210,1230,58632800
ADRO.JK,2021-06-07,1230,1230,1200,1205,36090000
ADRO.JK,2021-06-08,1220,1235,1205,1210,46908800
ADRO.JK,2021-06-09,1215,1225,1205,1215,40082700
ADRO.JK,2021-06-10,1230,1240,1210,1210,39268300
ADRO.JK,2021-06-11,1225,1350,1225,1315,386854000
ADRO.JK,2021-06-14,1320,1340,1295,1325,107804300
ADRO.JK,2021-06-15,1320,1320,1280,1310,109048500
ADRO.JK,2021-06-16,1300,1400,1290,1395,264328700
ADRO.JK,2021-06-17,1385,1405,1355,1355,81946100
ADRO.JK,2021-06-18,1355,1375,1285,1310,149122700
ADRO.JK,2021-06-21,1290,1305,1250,1285,84475900
ADRO.JK,2021-06-22,1295,1315,1275,1290,77750600
ADRO.JK,2021-06-23,1305,1315,1255,1260,73515700
ADRO.JK,2021-06-24,1260,1270,1225,1245,52732300
ADRO.JK,2021-06-25,1255,1295,1235,1285,106349300
ADRO.JK,2021-06-28,1300,1305,1230,1235,71317300
ADRO.JK,2021-06-29,1230,1245,1205,1215,46827300
ADRO.JK,2021-06-30,1215,1225,1190,1205,76460900
ADRO.JK,2021-07-01,1220,1240,1195,1205,53853700
ADRO.JK,2021-07-02,1220,1270,1205,1260,115326200
ADRO.JK,2021-07-05,1265,1265,1230,1235,50259700
ADRO.JK,2021-07-06,1260,1300,1255,1290,83567200
ADRO.JK,2021-07-07,1275,1275,1230,1250,72700000
ADRO.JK,2021-07-08,1250,1250,1210,1220,50605000
ADRO.JK,2021-07-09,1230,1255,1215,1250,46284000
ADRO.JK,2021-07-12,1270,1270,1235,1235,43425000
ADRO.JK,2021-07-13,1240,1245,1220,1230,30860600
